name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
V647 Tau,56.83062,3.788708,24.13911,8.3,8.25,0.05,DSCTC,0.047,780647,STAR A7V
V2810 Oph,277.14117,18.476078,6.88744,9.99,10,0.01,DSCTC:,0.04723,592810,STAR A3
V506 Aqr,321.17146,21.41143067,0.04442,14.65,14.35,0.3,DSCT,0.04739316,40506,STAR
FS CMi,114.49375,7.632916667,5.87433,13.25,12.7,0.55,DSCT,0.04741846,150182,STAR
V732 Lac,341.28146,22.75209733,49.63297,13.3,13.28,0.02,DSCTC,0.047526,450732,STAR
V2957 Cyg,306.932,20.46213333,50.35839,12.4,12.39,0.01,DSCTC,0.04758,312957,STAR
NW Com,198.19762,13.21317467,26.88117,8.48,8.43,0.05,DSCTC+GDOR,0.047852,250298,STAR A0
V447 Boo,211.41342,14.094228,28.52183,19.2,18.6,0.6,SXPHE,0.0479828,90447,STAR
V397 Com,198.22267,13.21484467,18.24608,19.42,19.13,0.29,SXPHE,0.04819,250397,STAR
V1078 Cas,19.46429,1.297619333,58.25678,15.47,15.4,0.07,DSCTC,0.048419,181078,STAR
V475 Peg,328.63958,21.90930533,14.53481,9.18,9.21,0.03,DSCTC,0.048622,620475,STAR A4V
V3036 Cyg,308.56792,20.57119467,50.72672,11.36,11.35,0.01,DSCTC,0.04867,313036,STAR
V2839 Cyg,326.75967,21.783978,43.32183,8.47,8.51,0.04,DSCTC,0.04875,312839,STAR A0
BX Cnc,130.52708,8.701805333,19.41125,7.94,7.96,0.02,DSCTC,0.048809,120101,STAR A7V
V2444 Cyg,320.84037,21.389358,46.41994,14.99,15.01,0.02,DSCTC,0.049,312444,STAR
FQ Boo,207.43396,13.82893067,8.40864,6.57,6.59,0.02,DSCTC,0.049,90180,STAR A2V
V703 Peg,323.9005,21.59336667,18.65447,17.14,17,0.14,DSCT,0.04907681,620703,STAR
V1496 Her,262.13137,17.47542467,22.57192,13.64,13.34,0.3,DSCT,0.04911085,401496,STAR
PW Lyn,114.53054,7.635369333,38.86564,23.4,22.7,0.7,SXPHE,0.049197,510321,STAR
V1565 Her,250.42692,16.695128,36.47275,17.8,16.7,1.1,SXPHE,0.0494085,401565,STAR
V368 Lyn,114.55496,7.636997333,38.86667,23.1,22.4,0.7,SXPHE,0.049438,510368,STAR
V418 Com,198.23487,13.215658,18.18489,18.15,18.07,0.08,SXPHE:,0.0495993,250418,STAR
V432 Boo,211.36679,14.09111933,28.51889,19.1,18.5,0.6,SXPHE,0.0498547,90432,STAR
V383 Com,198.20288,13.21352533,18.1695,19.7,19.2,0.5,SXPHE,0.0499567,250383,STAR
V453 Com,198.32921,13.22194733,18.11114,19.5,19,0.5,SXPHE,0.04997,250453,STAR
OO Lyn,114.50771,7.633847333,38.90289,23.3,22.7,0.6,SXPHE,0.0499945,510302,STAR
V2501 Cyg,294.24254,19.61616933,46.33997,12.09,12.03,0.06,DSCTC:,0.05,312501,STAR
V565 Peg,346.28308,23.08553867,34.28983,20.7,20.9,0.2,DSCT:,0.05,620565,STAR
EE Lyn,123.70958,8.247305333,48.82117,9.14,9.12,0.02,DSCTC,0.05,510149,STAR F0
V2503 Cyg,294.3395,19.62263333,46.40942,11.07,11.09,0.02,DSCTC:,0.05,312503,STAR
V3368 Oph,271.46825,18.09788333,5.32489,18.15,17.64,0.51,DSCT,0.050096,593368,STAR
V373 Lyn,114.562,7.637466667,38.84019,23,22.5,0.5,SXPHE,0.05038,510373,STAR
V444 Boo,211.396,14.09306667,28.51258,19,18.7,0.3,SXPHE,0.0504734,90444,STAR
BU Cnc,129.93608,8.662405333,19.27522,7.64,7.67,0.03,DSCTC,0.05051,120098,STAR A7V
V1183 Cas,345.65575,23.04371667,59.60506,7.42,7.36,0.06,DSCTC,0.050571,181183,STAR A8III
V339 Cam,64.93775,4.329183333,55.95997,12.42,12.35,0.07,DSCTC,0.0506318,110339,STAR
V746 Lac,341.45404,22.76360267,51.87558,12.39,12.37,0.02,DSCTC,0.050681,450746,STAR
V421 Boo,211.33625,14.08908333,28.53147,18.75,18.45,0.3,SXPHE,0.0507153,90421,STAR
EX Cnc,132.89296,8.859530667,11.85292,10.9,10.95,0.05,DSCTC,0.0510073,120167,STAR
V1209 Her,250.27829,16.68521933,40.70717,14.5,13.8,0.7,SXPHE,0.0512975,401209,STAR
V2959 Cyg,306.93692,20.46246133,50.42764,10.8,10.79,0.01,DSCTC,0.05167,312959,STAR
AU CrB,243.38208,16.225472,32.57853,12.5,12.3,0.2,DSCT,0.05172,270074,STAR
V386 Per,59.51308,3.967538667,34.81397,6.58,6.5,0.08,DSCTC,0.052,630386,STAR A8V
V2451 Cyg,320.89942,21.39329467,46.40303,15,15.03,0.03,DSCTC,0.052,312451,STAR
V1561 Her,250.42237,16.69482467,36.45139,17.43,17.02,0.41,SXPHE,0.052175,401561,STAR
V400 Com,198.22362,13.214908,18.14933,19.36,19.01,0.35,SXPHE,0.05252,250400,STAR
MP UMa,170.15696,11.34379733,39.35017,12.19,12.06,0.13,DSCT:,0.0526,830278,STAR
V781 Lyr,288.92671,19.26178067,40.82667,15.15,15.09,0.06,DSCTC,0.052632,520781,STAR
QX Lyn,114.53579,7.635719333,38.87114,23.6,22.56,1.04,SXPHE,0.05265,510332,STAR
V2998 Cyg,307.70542,20.51369467,51.08322,11.14,11.13,0.01,DSCTC,0.05266,312998,STAR
V734 Aur,86.02421,5.734947333,31.11211,15.3,14.5,0.8,DSCT,0.052696,80734,STAR
V355 Lyn,114.548,7.636533333,38.86717,23.2,22.7,0.5,SXPHE,0.0528674,510355,STAR
EW Cnc,132.88575,8.85905,11.84461,12.25,12.27,0.02,DSCTC,0.0530938,120166,STAR
V1745 Cyg,294.37458,19.624972,29.61511,7.34,7.3,0.04,DSCTC,0.0534,311745,STAR A3V
V2808 Oph,276.9205,18.46136667,7.14261,11.38,11.4,0.02,DSCTC:,0.05363,592808,STAR
V345 Lyn,114.54404,7.636269333,38.8315,23.1,22.7,0.4,SXPHE,0.05372,510345,STAR
V483 Tau,64.99042,4.332694667,14.03519,5.59,5.55,0.04,DSCTC,0.054,780483,STAR F0IV
V419 And,32.25971,2.150647333,39.59231,9.1,9.14,0.04,DSCTC,0.054,10419,STAR F0
V638 Ser,228.34171,15.22278067,18.26619,13.72,13.42,0.3,DSCT,0.05419111,760638,STAR
AA LMi,146.97083,9.798055333,33.28394,11.36,11.4,0.04,DSCTC,0.0542,470055,STAR
tau Peg,350.15933,23.34395533,23.74033,4.58,4.6,0.02,DSCTC,0.05433,629019,STAR A5IV
V524 Lac,341.154,22.7436,51.39069,14.02,13.97,0.05,DSCTC,0.054573,450524,STAR
V574 Dra,281.42762,18.76184133,48.52514,20.2,17.6,2.6,EA+XM,0.054908,340574,ALGOL STAR
V647 Ser,238.21412,15.88094133,6.10169,16.4,15.65,0.75,DSCT,0.05492,760647,STAR
V2453 Cyg,320.91729,21.394486,46.39889,16.13,16.14,0.01,DSCTC,0.055,312453,STAR
FM Com,184.75842,12.317228,26.00833,6.48,6.4,0.08,DSCTC,0.0551,250176,STAR A5IV
V433 Boo,211.367,14.09113333,28.54378,19,18.5,0.5,SXPHE,0.0551855,90433,STAR
OS Gem,118.23196,7.882130667,27.74664,9.495,9.53,0.035,DSCTC,0.0553,380306,STAR A7
V1247 Her,257.93788,17.19585867,30.22225,21.67,21.44,0.23,NL,0.05579861,401247,CV NOVA LIKE
GS Cet,12.71213,0.847475333,0.15358,20.85,20.65,0.2,NL,0.0558,210201,CV NOVA LIKE
V451 Dra,171.10571,11.40704733,77.70425,13.4,12.9,0.5,DSCT,0.055811,340451,STAR
V2416 Cyg,300.76771,20.05118067,59.11511,13.26,13.4,0.14,DSCT,0.05589,312416,STAR
HV And,10.23071,0.682047333,43.41656,16.7,15.2,1.5,NL,0.055994,10222,CV NOVA LIKE
GX Peg,337.89312,22.526208,29.54275,6.33,6.35,0.02,DSCTC,0.056,620206,STAR A8V
V538 Lac,341.46917,22.76461133,50.945,12.12,12.07,0.05,DSCTC,0.0561,450538,STAR
QT Vir,208.03875,13.86925,6.00133,8.48,8.5,0.02,DSCTC,0.0562,860328,STAR A3
V395 Com,198.22058,13.21470533,18.17661,18.64,18.35,0.29,SXPHE,0.05642,250395,STAR
NS Lyn,114.45788,7.630525333,38.74997,23.2,22.8,0.4,SXPHE,0.05659,510294,STAR
V608 Peg,356.06763,23.737842,32.17836,12.41,12.21,0.2,DSCT,0.057163,620608,STAR
V598 Peg,353.35829,23.55721933,15.37283,18.8,18.3,0.5,AM,0.0577,620598,CV AM HER (POLAR)
IL Leo,157.7525,10.51683333,20.476,17.2,18.2,1,XM,0.0578,460229,X-RAY BINARY
V1004 Per,48.99267,3.266178,57.44461,14.36,14.02,0.34,DSCT,0.05782,631004,STAR
BY Cnc,130.54504,8.703002667,18.93439,7.9,7.91,0.01,DSCTC,0.058,120102,STAR A7V
V2995 Cyg,307.58463,20.505642,49.71994,11.98,11.97,0.01,DSCTC,0.05801,312995,STAR
V2855 Ori,93.82388,6.254925333,6.07022,10.35,9.95,0.4,DSCT,0.0580804,602855,STAR
BM CrB,235.26954,15.684636,36.04803,20,17.3,2.7,XM,0.0583,270090,X-RAY BINARY
V663 Cas,40.63538,2.709025333,71.57764,8.95,8.89,0.06,DSCTC,0.058388,180663,STAR A0
LW UMa,149.23396,9.948930667,41.44483,10.27,10.22,0.05,DSCTC,0.0585,830271,STAR
V567 Dra,271.24504,18.08300267,69.71483,11.18,11.14,0.04,DSCTC:,0.05864,340567,STAR
